Country,code,id,year,DEMO,CORRUPT,POP,POP0-14%,LFPR,UR,LABOR,LNL1,EFFECTIVE_LABOR,LNL2,EDU_IDX,GDP,LNY,INCOMEPC,LNINCOMEPC,INEQUALITY,CAPITAL_STOCK,LNK,URBAN,LAW,TIME_TREND,dCIVILWARS,dFRENCH,dBRITISH,dLATINAME,dWENA,dMIDEAST,dAFRICAN,dOIL,dLANDLOCKED,dPOSTSOVIET
Barbados,BRB,12,2009,7,0.233174777,278466,20.016,71.2,10,142725,11.869,106601,11.577,0.747,5231.155,8.562,18785.614,9.841,28.9,11612.017,9.36,32.235,0.75,3,0,0,1,1,0,0,0,0,0,0
Belarus,BLR,13,2009,1.5,0.628190827,9507000,14.82,54.7,6.1,4159435,15.241,3376009,15.032,0.812,132923.531,11.798,13981.648,9.546,27.2,261881.859,12.476,74.172,0.667,3,0,0,0,0,0,0,0,0,1,1
Belgium,BEL,14,2009,7,0.214406776,10796493,16.812,53.3,7.9,4408911,15.299,3536441,15.079,0.802,421513.563,12.952,39041.711,10.572,30.5,1829988,14.42,97.594,0.833,3,0,0,0,0,1,0,0,0,0,0
Belize,BLZ,15,2009,6.5,0.508126828,313925,36.344,64.9,11.2,115165,11.654,77834,11.262,0.676,2283.464,7.733,7273.916,8.892,53.1,3909.975,8.271,45.232,0.563,3,0,0,1,1,0,0,0,0,0,0
Benin,BEN,16,2009,6,0.634542322,9240982,43.705,72.7,1.2,3736619,15.134,1457503,14.192,0.39,16255.596,9.696,1759.077,7.473,37.55,46363.258,10.744,41.461,0.438,3,0,1,0,0,0,0,1,0,0,0
Bhutan,BTN,17,2009,3.5,0.33792721,707830,30.869,71.1,4,333998,12.719,,,,4439.49,8.398,6271.972,8.744,38.1,21704.018,9.985,34.01,0.688,3,0,0,0,0,0,0,0,0,1,0
Bolivia,BOL,18,2009,5,0.626240599,9758799,35.113,72,3.4,4404185,15.298,2940087,14.894,0.668,44922.313,10.713,4603.262,8.435,57.25,81708.953,11.311,65.991,0.417,3,0,0,0,1,0,0,0,0,1,0
Bosnia ,BIH,19,2009,4.5,0.574488056,3837732,14.939,44.6,24.1,1105055,13.915,717487,13.484,0.649,32966.188,10.403,8590.018,9.058,36.2,81760.68,11.312,39.183,0.625,3,1,0,0,0,0,0,0,0,0,1
Botswana,BWA,20,2009,5.5,0.316096961,2007212,33.492,76.4,18.4,832247,13.632,511832,13.146,0.615,23107.199,10.048,11512.087,9.351,62,82859.484,11.325,56.004,0.583,3,0,0,1,0,0,0,1,0,1,0
Brazil,BRA,21,2009,6,0.523356749,196701298,25.818,69.8,8.3,93397060,18.352,61448318,17.934,0.658,2306120.75,14.651,11723.973,9.369,53.3,8620885,15.97,84.044,0.333,3,0,0,0,1,0,0,0,0,0,0
Bulgaria,BGR,22,2009,6,0.549424559,7444443,13.445,54.3,6.8,3260921,14.998,2396056,14.689,0.735,111219.344,11.619,14939.915,9.612,36.75,221199.781,12.307,71.963,0.417,3,0,0,0,0,0,0,0,0,0,1
Burkina Faso,BFA,23,2009,4,0.576215458,15165856,46.418,83.6,3.3,6569321,15.698,1423572,14.169,0.217,18758.666,9.839,1236.901,7.12,39.65,40228.781,10.602,24.828,0.583,3,0,1,0,0,0,0,1,0,1,0
Burundi,BDI,24,2009,3.5,0.713510466,9137786,44.135,82.2,7.1,3898266,15.176,1366949,14.128,0.351,5390.536,8.592,589.917,6.38,37.85,9610.915,9.171,10.376,0.25,3,1,0,0,0,0,0,1,0,1,0
Cambodia,KHM,25,2009,2.5,0.731798816,14144337,33.917,82.4,0.1,7694197,15.856,3806918,15.152,0.495,33689.348,10.425,2381.826,7.776,41.15,65347.207,11.087,19.666,0.438,3,1,1,0,0,0,0,0,0,0,0
Cameroon,CMR,26,2009,2,0.684469128,20074522,43.619,69.7,4.5,7533822,15.835,3488695,15.065,0.463,47460.152,10.768,2364.198,7.768,41.75,103318.766,11.546,50.928,0.333,3,0,1,0,0,0,0,1,0,0,0
Canada,CAN,27,2009,7,0.083335209,33628571,16.662,66.8,8.3,17167100,16.659,14607028,16.497,0.851,1306457,14.083,38849.614,10.567,32.35,4794359.5,15.383,80.758,0.917,3,0,0,1,0,1,0,0,0,0,0
Cape Verde,CPV,28,2009,7,0.345901799,486673,33.022,66.1,9.4,195208,12.182,91124,11.42,0.467,2762.884,7.924,5677.084,8.644,50.5,11080.873,9.313,61.016,0.688,3,0,0,0,0,0,0,1,0,0,0
Central African Republic,CAF,29,2009,3,0.681487954,4361492,40.833,78.6,6.9,1888366,14.451,570219,13.254,0.302,3651.981,8.203,837.324,6.73,58.8,11594.942,9.358,38.64,0.25,3,0,1,0,0,0,0,1,0,1,0
Chad,TCD,30,2009,1.5,0.771107292,11510535,48.842,71.6,7,3921072,15.182,926971,13.74,0.236,16668.266,9.721,1448.088,7.278,39.8,22523.578,10.022,21.934,0.25,3,1,1,0,0,0,0,1,0,1,0
Chile,CHL,31,2009,7,0.229944038,16829957,22.276,57.7,9.7,6815537,15.735,5023760,15.43,0.737,279446.563,12.541,16604.116,9.717,52.1,806715.563,13.601,88.375,0.833,3,0,0,0,1,0,0,0,0,0,0
China,CHN,32,2009,1.5,0.608668995,1331260000,17.723,71.2,4.4,745553688,20.43,439692773,19.902,0.59,11718431,16.277,8802.511,9.083,45.25,36784308,17.421,47.88,0.75,3,1,0,0,0,0,0,0,0,0,0
Colombia,COL,33,2009,4.5,0.561090225,45416276,26.872,66.7,11.8,19538536,16.788,11906996,16.293,0.609,442410.313,13,9741.228,9.184,55.95,1369280.625,14.13,74.749,0.333,3,1,0,0,1,0,0,0,0,0,0
Comoros,COM,34,2009,4.5,0.656798267,681845,41.375,57.1,6.5,213409,12.271,91678,11.426,0.43,966.606,6.874,1417.634,7.257,64.3,2657.84,7.885,27.882,0.375,3,0,1,0,0,0,0,1,0,0,0
Costa Rica,CRI,35,2009,7,0.358841956,4488261,25.128,62.5,7.8,1936448,14.476,1234066,14.026,0.637,53817.727,10.893,11990.775,9.392,50.5,122062.711,11.712,70.573,0.583,3,0,0,0,1,0,0,0,0,0,0
Croatia,HRV,36,2009,6.5,0.520057668,4429078,15.539,52.7,9.1,1792028,14.399,1333491,14.103,0.744,88336.914,11.389,19944.764,9.901,30.35,342062.938,12.743,57.287,0.75,3,0,0,0,0,0,0,0,0,0,1
Cyprus,CYP,37,2009,7,0.313426411,1090486,18.223,64,5.4,539914,13.199,420272,12.949,0.778,28518.18,10.258,26151.807,10.172,29,116504.523,11.666,67.695,0.833,3,1,0,1,0,0,0,0,0,0,0
Czech Republic,CZE,38,2009,7,0.434354675,10443936,14.244,58.6,6.7,4896756,15.404,4212277,15.254,0.86,290622.375,12.58,27826.901,10.234,28.4,1532413.625,14.242,73.324,0.833,3,0,0,0,0,0,0,0,0,1,1
Dem. Rep. of the Congo,COD,39,2009,2,0.77269361,63845097,46.564,71.9,8.2,22518042,16.93,7862299,15.878,0.349,20900.621,9.948,327.365,5.791,44.4,81246.992,11.305,39.437,0.167,3,1,0,0,0,0,0,1,0,0,0
Denmark,DNK,40,2009,7,-0.003873539,5523095,18.174,65.3,6,2774066,14.836,2408816,14.695,0.868,222033.453,12.311,40200.911,10.602,24.75,917293.188,13.729,86.654,1,3,0,0,0,0,1,0,0,0,0,0
Djibouti,DJI,41,2009,3,0.558106613,820097,34.797,50.8,0,271640,12.512,77052,11.252,0.284,2176.537,7.685,2653.999,7.884,40,9912.473,9.202,76.944,0.625,3,0,1,0,0,0,0,0,0,0,0
Dominican Republic,DOM,42,2009,6,0.644613612,9767737,31.757,65.1,14.9,3692875,15.122,2154011,14.583,0.583,101937.859,11.532,10436.18,9.253,47.8,346920.125,12.757,72.541,0.417,3,1,0,1,1,0,0,0,0,0,0
East Timor,TLS,43,2009,4.5,0.699166811,1048367,42.204,40.6,5.2,233211,12.36,106941,11.58,0.459,,,,,31.9,,,28.85,0.375,3,0,0,0,0,0,0,0,0,0,0
Ecuador,ECU,44,2009,5,0.677378511,14691310,31.117,67.6,6.5,6396366,15.671,3784501,15.146,0.592,124662.961,11.733,8485.49,9.046,48.3,432460.594,12.977,62.495,0.417,3,0,0,0,1,0,0,0,0,0,0
Egypt,EGY,45,2009,2.5,0.583750057,80442443,31.928,48.3,9.4,23962364,16.992,13467381,16.416,0.562,623566.938,13.343,7751.716,8.956,32.6,905639.438,13.716,43.039,0.583,3,0,0,1,0,0,0,0,0,0,0
El Salvador,SLV,46,2009,5.5,0.539141846,6021368,31.229,61.5,7.3,2360790,14.675,1267219,14.052,0.537,32227.377,10.381,5352.169,8.585,47.6,66042.594,11.098,63.773,0.25,3,1,0,0,1,0,0,0,0,0,0
Estonia,EST,47,2009,7,0.317526722,1334515,15.002,61.6,13.8,602312,13.309,513349,13.149,0.852,27856.229,10.235,20873.672,9.946,33.65,116082.391,11.662,68.223,0.667,3,0,0,0,0,0,0,0,0,0,1
Ethiopia,ETH,48,2009,3,0.643623579,85302099,44.929,84,5.1,37447689,17.438,11428715,16.252,0.305,71127.125,11.172,833.826,6.726,29.9,199173.203,12.202,16.91,0.75,3,1,0,0,0,0,0,1,0,1,0
Fiji,FJI,49,2009,3,0.647932076,851854,29.373,55,8.7,302115,12.619,225764,12.327,0.747,5621.644,8.634,6599.305,8.795,42.8,11489.317,9.349,51.44,0.438,3,0,0,1,0,0,0,0,0,0,0
Finland,FIN,50,2009,7,0.03939743,5338871,16.651,60.9,8.2,2487762,14.727,2010792,14.514,0.808,206339.625,12.237,38648.55,10.562,26.85,953238.813,13.768,83.429,1,3,0,0,0,0,1,0,0,0,0,0
France,FRA,51,2009,7,0.216519165,64707044,18.453,56.2,9.1,26956371,17.11,21637584,16.89,0.803,2316625,14.656,35801.744,10.486,32.7,9769681,16.095,78.106,0.833,3,0,0,0,0,1,0,0,0,0,0
Gabon,GAB,52,2009,2.5,0.688334668,1507428,38.138,59.9,21.3,439608,12.994,257449,12.459,0.586,18618.416,9.832,12351.115,9.422,41.5,65135.484,11.084,85.313,0.5,3,0,1,0,0,0,0,1,1,0,0
Gambia,GMB,53,2009,3,0.61276077,1638899,46.409,77.5,7,633042,13.358,216929,12.287,0.343,2692.458,7.898,1642.846,7.404,48.75,6855.84,8.833,55.555,0.583,3,0,0,1,0,0,0,1,0,0,0
Georgia,GEO,54,2009,4,0.544844508,3978000,17.027,63.8,16.9,1749935,14.375,1348033,14.114,0.77,29007.633,10.275,7292.014,8.895,41.05,67732.234,11.123,52.723,0.5,3,1,0,0,0,0,0,0,0,0,1
Germany,DEU,55,2009,7,0.15538063,81902307,13.656,59.3,7.7,38706749,17.472,34006400,17.342,0.879,3102071.75,14.948,37875.267,10.542,27.65,12396126,16.333,74.093,0.833,3,0,0,1,0,1,0,0,0,0,0
Ghana,GHA,56,2009,6.5,0.493731532,23713164,39.292,68.7,2.2,9672300,16.085,5047845,15.434,0.522,60840.047,11.016,2565.666,7.85,41.1,180048.688,12.101,50.031,0.417,3,0,0,1,0,0,0,1,0,0,0
Greece,GRC,57,2009,6.5,0.498443174,11107017,14.624,53.9,9.5,4625630,15.347,3678759,15.118,0.795,348240.031,12.761,31353.156,10.353,33.65,1751806.375,14.376,75.932,0.75,3,0,0,0,0,1,0,0,0,0,0
Guatemala,GTM,58,2009,4,0.595625746,14418033,39.593,67.2,3.2,5665469,15.55,2552473,14.753,0.451,87094.727,11.375,6040.68,8.706,49.396755,223994.406,12.319,48.884,0.25,3,1,0,0,1,0,0,0,0,0,0
Guinea,GIN,59,2009,1.5,0.709411192,10715770,43.503,71.6,1.6,4265362,15.266,1196672,13.995,0.281,11452.929,9.346,1068.792,6.974,39.4,15748.049,9.664,34.426,0.417,3,0,1,0,0,0,0,1,0,0,0
Guinea-Bissau,GNB,60,2009,4,0.720883846,1596832,41.725,73,6.8,633111,13.358,205972,12.235,0.325,1929.49,7.565,1208.323,7.097,35.5,5339.735,8.583,44.342,0.417,3,1,0,0,0,0,0,1,0,0,0
Guyana,GUY,61,2009,5.5,0.608365405,750749,34.4,61,11.5,265871,12.491,152287,11.934,0.573,,,,,43.85,,,28.221,0.25,3,0,0,1,1,0,0,0,0,0,0
Haiti,HTI,62,2009,3.5,0.720033455,9852953,36.317,64.8,7.1,3777319,15.145,1402636,14.154,0.371,15623.563,9.657,1585.673,7.369,59.2,109542.813,11.604,50.523,0.25,3,0,1,0,1,0,0,0,0,0,0
Honduras,HND,63,2009,4,0.67377497,7383098,36.665,62,3.3,2803483,14.846,1380381,14.138,0.492,29066.949,10.277,3936.958,8.278,55.3,100695.898,11.52,51.07,0.25,3,0,0,0,1,0,0,0,0,0,0
Hungary,HUN,64,2009,7,0.431755972,10022650,14.755,50,10,3844710,15.162,3078786,14.94,0.801,216178.297,12.284,21568.976,9.979,30,864164.688,13.67,68.366,0.667,3,0,0,0,0,0,0,0,0,1,1
Iceland,ISL,65,2009,7,0.088611507,318499,21.134,74.2,7.2,172962,12.061,145868,11.89,0.843,12971.468,9.471,40726.871,10.615,25,66732.625,11.108,93.511,1,3,0,0,0,0,1,0,0,0,0,0
India,IND,66,2009,5.5,0.595474195,1214182182,31.301,56.5,3.9,452903437,19.931,201382003,19.121,0.445,4584934.5,15.338,3776.15,8.236,36.8,13506964,16.419,30.587,0.667,3,1,0,1,0,0,0,0,0,0,0
Indonesia,IDN,67,2009,5.5,0.66316514,238465165,28.943,67.9,7.9,105964675,18.479,62304056,17.948,0.588,1533793.25,14.243,6431.938,8.769,39.4,6325119,15.66,49.124,0.5,3,1,0,0,0,0,0,0,0,0,0
Iran,IRN,68,2009,2,0.672204208,73370982,23.651,43.7,12,21542211,16.886,13290204,16.403,0.617,1180908,13.982,16095.028,9.686,38.3,3093936.5,14.945,70.045,0.667,3,1,0,0,0,0,1,0,1,0,0
Iraq,IRQ,69,2009,2.5,0.778457737,29970634,41.892,41.8,15.2,6173078,15.636,2867450,14.869,0.465,236718.516,12.375,7898.349,8.974,42,366437.031,12.812,68.98,0.25,3,1,0,1,0,0,1,0,1,0,0
Ireland,IRL,70,2009,7,0.146323848,4535375,20.583,62,12,1965168,14.491,1740405,14.37,0.886,195375.047,12.183,43078.036,10.671,34.3,735173,13.508,61.569,1,3,0,0,1,0,1,0,0,0,0,0
Israel/West Bank,ISR,71,2009,6.5,0.350084877,7485600,27.343,56.9,7.5,2862574,14.867,2424373,14.701,0.847,219917.813,12.301,29378.782,10.288,39.2,672528.188,13.419,91.763,0.833,3,0,0,1,0,0,1,0,0,0,0
Italy,ITA,72,2009,6.5,0.474965617,59095365,14.061,48.5,7.8,22710028,16.938,17715299,16.69,0.78,2104303.75,14.559,35608.609,10.48,36,11164391,16.228,68.209,0.667,3,0,0,0,0,1,0,0,0,0,0
Ivory Coast,CIV,73,2009,2.5,0.716381598,19684909,43.795,67.3,4.1,7140714,15.781,2684909,14.803,0.376,50176.031,10.823,2548.959,7.843,48.4,81697.961,11.311,49.8,0.417,3,0,1,0,0,0,0,1,0,0,0
Jamaica,JAM,74,2009,5.5,0.587260586,2681386,27.887,64.7,11.4,1108436,13.918,736359,13.509,0.664,19605.926,9.884,7311.863,8.897,45.5,92935.422,11.44,53.557,0.333,3,0,0,1,1,0,0,0,0,0,0
Japan,JPN,75,2009,6.5,0.225625348,128047000,13.398,60,5,63208102,17.962,50569291,17.739,0.8,4223824,15.256,32986.513,10.404,24.9,17325632,16.668,89.743,0.833,3,0,0,0,0,0,0,0,0,0,0
Jordan,JOR,76,2009,2.5,0.455977634,6266865,36.881,42.9,12.9,1478028,14.206,1046767,13.861,0.708,59615.879,10.996,9512.871,9.16,37.7,165272.453,12.015,82.22,0.667,3,1,0,1,0,0,1,0,0,0,0
Kazakhstan,KAZ,77,2009,2.5,0.676808715,16092701,24.07,71.2,6.6,8125861,15.911,6137607,15.63,0.755,244342.156,12.406,15183.415,9.628,33.9,609796.313,13.321,53.908,0.667,3,0,0,0,0,0,0,0,1,1,1
Kenya,KEN,78,2009,4,0.71639936,39269988,42.658,66.2,9.4,13505709,16.419,6917924,15.75,0.512,89347.766,11.4,2275.218,7.73,47.7,184419.75,12.125,23.183,0.333,3,0,0,1,0,0,0,1,0,0,0
Kirgizstan,KGZ,79,2009,2.5,0.746113682,5383300,29.936,66.1,8.4,2283706,14.641,1490966,14.215,0.653,14896.123,9.609,2767.099,7.926,34.8,28367.313,10.253,35.284,0.25,3,0,0,0,0,0,0,0,0,0,1
Kuwait,KWT,80,2009,4,0.416994578,2881243,24.11,67.5,1.6,1452328,14.189,909096,13.72,0.626,169939.266,12.043,58981.233,10.985,30,377543.969,12.841,98.248,0.833,3,0,0,1,0,0,1,0,1,0,0
Laos,LAO,81,2009,1.5,0.752216411,6153153,37.635,77.7,1.4,2939927,14.894,1217313,14.012,0.414,21619.424,9.981,3513.552,8.164,32.6,60573.871,11.012,31.985,0.438,3,1,1,0,0,0,0,0,0,1,0
Latvia,LVA,82,2009,6.5,0.474668962,2141669,14.119,60.6,17.1,924006,13.736,760070,13.541,0.823,37365.016,10.528,17446.681,9.767,35.7,201072.25,12.211,67.764,0.833,3,0,0,0,0,0,0,0,0,0,1
Lebanon,LBN,83,2009,4,0.665486038,4181742,24.363,46.5,6.2,1379575,14.137,866095,13.672,0.628,69671.055,11.152,16660.773,9.721,45,293532.563,12.59,87.062,0.667,3,1,1,0,0,0,1,0,0,0,0
Lesotho,LSO,84,2009,5,0.468021309,1990413,38.071,65.5,28.5,577276,13.266,285575,12.562,0.495,4014.374,8.298,2016.855,7.609,57.85,14889.443,9.608,24.259,0.563,3,0,0,1,0,0,0,1,0,1,0
Liberia,LBR,85,2009,4.5,0.612542105,3821498,43.459,61.1,4.6,1259476,14.046,458035,13.035,0.364,2529.929,7.836,662.025,6.495,52.6,6292.958,8.747,47.441,0.417,3,1,0,0,0,0,0,1,0,0,0
Lithuania,LTU,86,2009,7,0.475748324,3162916,15.051,58.3,13.7,1351835,14.117,1191901,13.991,0.882,59236.305,10.989,18728.384,9.838,35.8,182505.688,12.115,66.842,0.667,3,0,0,0,0,0,0,0,0,0,1
Luxembourg,LUX,87,2009,7,0.102932215,497783,17.811,57.4,5.1,222860,12.314,168230,12.033,0.755,40202.801,10.602,80763.708,11.299,30.8,136937.656,11.827,88.178,1,3,0,0,0,0,1,0,0,0,1,0
Macedonia,MKD,88,2009,5,0.520983745,2058920,18.526,55.4,32.2,630085,13.354,,,,22689.293,10.03,11019.997,9.307,39,68296.969,11.132,57.047,0.5,3,0,0,0,0,0,0,0,0,1,1
Madagascar,MDG,89,2009,3,0.538482937,20495706,43.748,88.7,4.8,9735637,16.091,4436022,15.305,0.456,10200.426,9.23,497.686,6.21,47.2,48336.758,10.786,31.298,0.417,3,0,1,0,0,0,0,1,0,0,0
Malawi,MWI,90,2009,4.5,0.576486075,14329056,46.316,83.2,7.5,5920085,15.594,2477985,14.723,0.419,14950.435,9.612,1043.365,6.95,39,50490.039,10.83,15.427,0.5,3,0,0,1,0,0,0,1,0,1,0
Malaysia,MYS,91,2009,4,0.506231729,27661017,28.011,59.3,3.7,11371440,16.247,7580025,15.841,0.667,514818.594,13.152,18611.702,9.832,37.9,1345512.875,14.112,70.075,0.667,3,0,0,1,0,0,0,0,0,0,0
Maldives,MDV,92,2009,4.5,0.636279297,360000,29.368,65.3,12.2,145785,11.89,79019,11.277,0.542,3970.961,8.287,11030.447,9.308,37.4,8035.592,8.992,38.781,0.563,3,0,0,1,0,0,0,0,0,0,0
Mali,MLI,93,2009,5.5,0.627136266,14694565,47.061,63.5,8.5,4519888,15.324,1294370,14.074,0.286,20474.682,9.927,1393.351,7.239,39,33550.41,10.421,35.2,0.5,3,0,1,0,0,0,0,1,0,1,0
Malta,MLT,94,2009,7,0.333128405,412477,16.596,50.1,6.9,160463,11.986,113155,11.637,0.705,11344.681,9.337,27503.79,10.222,26,30211.432,10.316,94.486,0.833,3,0,0,1,0,1,0,0,0,0,0
Mauritania,MRT,95,2009,2.5,0.611212254,3501927,41.181,53.4,31.1,757851,13.538,254362,12.447,0.336,8631.794,9.063,2464.87,7.81,39,25125.082,10.132,56,0.375,3,0,1,0,0,0,0,1,0,0,0
Mauritius,MUS,96,2009,6.5,0.374058747,1247429,22.485,58,7.3,519887,13.161,352753,12.774,0.679,18612.213,9.832,14920.459,9.61,39,55708.813,10.928,40.787,0.875,3,0,0,1,0,0,0,1,0,0,0
Mexico,MEX,97,2009,5.5,0.560214812,116815612,30.474,60.1,5.2,46273303,17.65,28737647,17.174,0.621,1604183.625,14.288,13732.613,9.528,48.1,4474886.5,15.314,77.527,0.333,3,0,0,0,1,0,0,0,0,0,0
Moldova,MDA,98,2009,4.5,0.632920432,3565604,16.75,42,6.4,1166929,13.97,762824,13.545,0.654,13439.73,9.506,3769.272,8.235,35.6,44662.137,10.707,44.936,0.75,3,0,0,0,0,0,0,0,0,1,1
Mongolia,MNG,99,2009,6,0.651061845,2669572,27.043,61.4,5.9,1125300,13.934,758124,13.539,0.674,16663.98,9.721,6242.192,8.739,33,94983.867,11.461,66.58,0.667,3,0,0,0,0,0,0,0,0,1,1
Montenegro,MNE,100,2009,5.5,0.532743061,618294,19.906,51.7,19.1,207126,12.241,159073,11.977,0.768,7864.641,8.97,12719.905,9.451,36,23548.189,10.067,62.918,0.625,3,0,0,0,0,0,0,0,0,0,0
Morocco,MAR,101,2009,3.5,0.56182186,31714958,28.425,50.5,9.1,10420377,16.159,4582349,15.338,0.44,189311.781,12.151,5969.164,8.694,40.9,735019.625,13.508,57.175,0.833,3,1,1,0,0,0,0,0,0,0,0
Mozambique,MOZ,102,2009,4.5,0.584203953,23647815,45.925,84.8,22.6,8393075,15.943,3135415,14.958,0.374,22865.191,10.037,966.905,6.874,47.1,28443.414,10.256,30.745,0.5,3,1,0,0,0,0,0,1,0,0,0
Namibia,NAM,103,2009,6,0.450283566,2152357,38.387,62.4,29.7,581741,13.274,301696,12.617,0.519,17198.717,9.753,7990.643,8.986,74.3,44356.805,10.7,40.601,0.833,3,0,0,0,0,0,0,1,0,0,0
Nepal,NPL,104,2009,4,0.630358136,26592666,37.755,83.6,2.7,13464347,16.416,5634141,15.544,0.418,43333.738,10.677,1629.537,7.396,47.3,140278.563,11.851,16.483,0.5,3,0,0,0,0,0,0,0,0,1,0
Netherlands,NLD,105,2009,7,0.066708422,16530388,17.568,66.3,3.4,8727108,15.982,7500892,15.831,0.859,743493.25,13.519,44977.362,10.714,30.9,2736732.25,14.822,86.242,1,3,0,0,0,0,1,0,0,0,0,0
New Zealand,NZL,106,2009,7,0.007559586,4302600,20.709,67.9,6.1,2175155,14.593,1990209,14.504,0.915,130591.805,11.78,30351.835,10.321,36.2,383547.125,12.857,86.148,0.917,3,0,0,1,0,0,0,0,0,0,0
Nicaragua,NIC,107,2009,4,0.646167552,5666595,33.367,62.4,7,2191192,14.6,1051202,13.865,0.48,21791.244,9.989,3845.562,8.255,52.3,76680.742,11.247,56.974,0.667,3,1,0,0,1,0,0,0,0,0,0
Niger,NER,108,2009,3.5,0.62171675,15672194,49.858,64.7,5.1,4825082,15.389,829625,13.629,0.172,11427.119,9.344,729.133,6.592,34.3,54007.074,10.897,17.366,0.333,3,0,1,0,0,0,0,1,0,1,0
Nigeria,NGA,109,2009,3.5,0.695293784,155207145,43.893,55.5,7.6,44657158,17.615,18887954,16.754,0.423,739258.375,13.513,4763.043,8.469,42.9,1168140.75,13.971,42.588,0.333,3,1,0,1,0,0,0,1,1,0,0
Norway,NOR,110,2009,7,0.100814939,4828726,18.977,66.3,3.2,2510890,14.736,2265113,14.633,0.902,271834.125,12.513,56295.206,10.938,25.8,997332.563,13.813,78.815,1,3,0,0,0,0,1,0,0,1,0,0
Oman,OMN,111,2009,2.5,0.442408049,2762073,27.505,58.2,7.7,1075649,13.888,633977,13.36,0.589,112853.883,11.634,40858.4,10.618,32,308052.5,12.638,74.624,0.833,3,0,0,0,0,0,1,0,1,0,0
Pakistan,PAK,112,2009,3.5,0.708852911,166520983,36.532,53.6,5.2,53702517,17.799,18904278,16.755,0.352,639058.688,13.368,3837.707,8.253,31.2,1177068.75,13.979,36.201,0.5,3,1,0,1,0,0,0,0,0,0,0
Panama,PAN,113,2009,6.5,0.563633972,3559401,29.058,66.1,6.6,1558939,14.26,1025203,13.84,0.658,49826.906,10.816,13998.677,9.547,54.9,112844.938,11.634,64.828,0.5,3,0,0,0,1,0,0,0,0,0,0
Paraguay,PRY,114,2009,5,0.665814555,6127847,33.232,71.9,6.5,2750523,14.827,1602263,14.287,0.583,36218.777,10.497,5910.522,8.684,53.2,108379.586,11.593,58.26,0.333,3,0,0,0,1,0,0,0,0,1,0
Peru,PER,115,2009,5.5,0.568432271,29001563,29.779,75.9,4.4,14777127,16.509,9359678,16.052,0.633,247224.813,12.418,8524.534,9.051,49.6,651262.25,13.387,76.552,0.583,3,1,0,0,1,0,0,0,0,0,0
Philippines,PHL,116,2009,4.5,0.654343081,91641881,34.399,64.1,7.5,35645481,17.389,21670452,16.891,0.608,457007.125,13.032,4986.881,8.515,44,1420046.75,14.166,45.524,0.417,3,1,0,0,0,0,0,0,0,0,0
Poland,POL,117,2009,7,0.425975031,38151603,15.121,55.2,8.2,16409403,16.613,13256866,16.4,0.808,750534.125,13.529,19672.414,9.887,34.9,1520285.125,14.234,61.004,0.75,3,0,0,0,0,0,0,0,0,0,1
Portugal,PRT,118,2009,7,0.292264009,10568247,15.14,61.9,9.5,5023926,15.43,3522893,15.075,0.701,284758.656,12.559,26944.739,10.202,38.5,1559769.75,14.26,59.964,0.833,3,0,0,0,0,1,0,0,0,0,0
Qatar,QAT,119,2009,2.5,0.15543015,1591151,14.181,86,0.3,1170816,13.973,807041,13.601,0.689,167531.406,12.029,105289.445,11.564,39,437239.375,12.988,98.47,0.833,3,0,0,1,0,0,1,0,1,0,0
Republic of Congo,COG,120,2009,2.5,0.735087276,3950786,42.105,70.4,6.5,1505586,14.225,739235,13.513,0.491,12464.409,9.431,3154.919,8.057,47.3,43909.969,10.69,62.786,0.333,3,1,1,0,0,0,0,1,0,0,0
Romania,ROU,121,2009,6,0.55333727,20367487,15.763,55.7,6.9,8897019,16.001,6709936,15.719,0.754,326775.094,12.697,16043.957,9.683,31.5,1155129.625,13.96,53.698,0.667,3,1,0,0,0,0,0,0,0,0,1
Russia,RUS,122,2009,2.5,0.71752317,142785342,14.748,63.2,8.3,70546731,18.072,54954179,17.822,0.779,2539332.75,14.747,17784.268,9.786,37.5,6824434.5,15.736,73.642,0.667,3,1,0,0,0,0,0,0,1,0,1
Rwanda,RWA,123,2009,2.5,0.47338495,10024594,42.477,86,0.6,4929377,15.411,1804908,14.406,0.366,12286.707,9.416,1225.656,7.111,46.7,19452.496,9.876,22.988,0.438,3,1,0,0,0,0,0,1,0,1,0
Sao Tome,STP,124,2009,6,0.578379565,167196,43.292,59.4,0,56319,10.939,25797,10.158,0.458,377.13,5.933,2255.614,7.721,50.8,1692.015,7.434,61.185,0.563,3,0,0,0,0,0,0,1,0,0,0
Saudi Arabia,SAU,125,2009,1.5,0.502150793,27409491,30.856,51.1,5.4,9161541,16.031,6049686,15.616,0.66,935472.438,13.749,34129.508,10.438,32,3310855.75,15.013,81.867,0.833,3,0,0,0,0,0,1,0,1,0,0
Senegal,SEN,126,2009,5,0.605617273,12581624,43.693,76.2,9.9,4863795,15.397,1735132,14.367,0.357,26141.033,10.171,2077.715,7.639,39.2,85250.258,11.353,41.977,0.5,3,0,1,0,0,0,0,1,0,0,0
Serbia  ,SRB,127,2009,6,0.561722851,7320807,17.507,53,16.6,2669429,14.797,1861719,14.437,0.697,84653.789,11.346,11563.45,9.356,30,377649,12.842,55.159,0.583,3,0,0,0,0,0,0,0,0,1,1
